brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Peugeot,508,2018,159 000 km,1 997 cm3,Diesel,180 KM,Automatyczna,Kombi,5.0,5.0,Biały,Używane,74 900        PLN
Peugeot,3008,2018,187 479 km,1 499 cm3,Diesel,130 KM,Manualna,SUV,5.0,5.0,Inny kolor,Używane,75 500        PLN
Peugeot,4007,2008,206 600 km,2 179 cm3,Diesel,156 KM,Manualna,SUV,5.0,7.0,Czarny,Używane,26 500        PLN
Peugeot,2008,2019,9 200 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Czerwony,Używane,61 700        PLN
Peugeot,508,2017,87 000 km,1 598 cm3,Benzyna,165 KM,Manualna,Sedan,5.0,5.0,Srebrny,Używane,67 900        PLN
Peugeot,508,2013,341 000 km,1 560 cm3,Diesel,114 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,27 700        PLN
Peugeot,308,2009,223 233 km,1 598 cm3,Benzyna,120 KM,Manualna,Kombi,5.0,7.0,Srebrny,Używane,14 900        PLN
Peugeot,308,2021,22 980 km,1 500 cm3,Diesel,130 KM,Manualna,Kompakt,5.0,5.0,Biały,Używane,62 500        PLN
Peugeot,5008,2018,96 000 km,1 199 cm3,Benzyna,130 KM,Automatyczna,Minivan,5.0,7.0,Czarny,Używane,84 950        PLN
Peugeot,407,2010,210 000 km,1 560 cm3,Diesel,109 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,15 700        PLN
Peugeot,3008,2017,98 082 km,1 560 cm3,Diesel,120 KM,Automatyczna,SUV,5.0,5.0,Brązowy,Używane,90 990        PLN
Peugeot,2008,2020,8 350 km,1 199 cm3,Benzyna,101 KM,Manualna,SUV,5.0,5.0,Biały,Używane,93 900        PLN
Peugeot,3008,2012,253 554 km,1 997 cm3,Diesel,149 KM,Manualna,SUV,5.0,5.0,Czarny,Używane,31 500        PLN
Peugeot,2008,2015,161 298 km,1 560 cm3,Diesel,100 KM,Manualna,SUV,5.0,5.0,Szary,Używane,40 900        PLN
Peugeot,208,2012,98 000 km,1 598 cm3,Benzyna,156 KM,Manualna,Auta miejskie,3.0,5.0,Granatowy,Używane,29 900        PLN
Peugeot,307,2006,240 700 km,1 560 cm3,Diesel,90 KM,Manualna,Kompakt,5.0,5.0,Czarny,Używane,7 600        PLN
Peugeot,508,2015,120 297 km,1 997 cm3,Diesel,150 KM,Manualna,Kombi,5.0,5.0,Granatowy,Używane,53 900        PLN
Peugeot,3008,2017,95 756 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Czerwony,Używane,91 900        PLN
Peugeot,5008,2023,1 km,1 499 cm3,Diesel,130 KM,Automatyczna,Minivan,5.0,7.0,Niebieski,Nowe,183 000        PLN
Peugeot,308,2017,85 670 km,1 199 cm3,Benzyna,130 KM,Manualna,Kompakt,5.0,5.0,Czerwony,Używane,53 990        PLN
Peugeot,508,2016,187 000 km,1 560 cm3,Diesel,120 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,44 900        PLN
Peugeot,508,2011,244 000 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,35 900        PLN
Peugeot,2008,2016,75 491 km,1 199 cm3,Benzyna,110 KM,Automatyczna,SUV,5.0,5.0,Szary,Używane,55 000        PLN
Peugeot,508,2011,284 000 km,1 560 cm3,Diesel,112 KM,Automatyczna,Sedan,5.0,5.0,Czarny,Używane,31 500        PLN
Peugeot,308,2014,106 000 km,1 560 cm3,Diesel,92 KM,Manualna,Kombi,5.0,5.0,Granatowy,Używane,34 950        PLN
Peugeot,308,2015,163 500 km,1 560 cm3,Diesel,115 KM,Manualna,Kombi,5.0,5.0,Granatowy,Używane,36 000        PLN
Peugeot,208,2014,125 000 km,1 199 cm3,Benzyna,82 KM,Manualna,Auta miejskie,5.0,5.0,Inny kolor,Używane,26 500        PLN
Peugeot,508,2011,232 100 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,35 900        PLN
Peugeot,407,2007,323 104 km,1 997 cm3,Diesel,136 KM,Manualna,Sedan,4.0,5.0,Beżowy,Używane,10 900        PLN
Peugeot,208,2014,87 500 km,1 598 cm3,Benzyna,200 KM,Manualna,Kompakt,3.0,5.0,Czerwony,Używane,45 000        PLN
Peugeot,508,2017,181 940 km,1 997 cm3,Diesel,150 KM,Manualna,Sedan,4.0,5.0,Czarny,Używane,57 700        PLN
Peugeot,508,2012,273 000 km,1 598 cm3,Benzyna,156 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,32 900        PLN
Peugeot,3008,2017,57 000 km,1 199 cm3,Benzyna,130 KM,Manualna,SUV,5.0,5.0,Biały,Używane,82 000        PLN
Peugeot,407,2007,238 000 km,1 560 cm3,Diesel,110 KM,Manualna,Sedan,4.0,5.0,Inny kolor,Używane,10 900        PLN
